Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-04-04,Groundhog Day,1993,https://boxd.it/44qKaV,4.5,Yes,,2023-04-03
2023-04-10,Olsenbanden - Siste skrik!,2022,https://boxd.it/46cE4R,0.5,,,2023-04-09
2023-04-12,Teenage Mutant Ninja Turtles,1990,https://boxd.it/46LJhr,3.5,Yes,,2023-04-11
2023-04-13,The Favourite,2018,https://boxd.it/470SGb,4.5,,,2023-04-12
2023-04-14,Nimic,2019,https://boxd.it/47dpSD,,,,2023-04-13
2023-04-14,The Green Knight,2021,https://boxd.it/47ftxD,4,,,2023-04-13
2023-04-15,30 Minutes or Less,2011,https://boxd.it/47vY2t,2,,,2023-04-14
2023-04-16,Kopps,2003,https://boxd.it/47LFF9,5,Yes,,2023-04-15
2023-04-16,"South Park: Bigger, Longer & Uncut",1999,https://boxd.it/47MWRj,4,Yes,,2023-04-15
2023-04-17,The Man Who Loved Yngve,2008,https://boxd.it/480qvD,,Yes,,2023-04-16
2023-04-17,Zodiac,2007,https://boxd.it/485htj,3,Yes,,2023-04-16
2023-04-22,Varg Veum - Bitter Flowers,2007,https://boxd.it/49tq0d,2.5,Yes,,2023-04-21
2023-04-22,Varg Veum - Sleeping Beauty,2008,https://boxd.it/49tq9T,3,Yes,,2023-04-21
2023-04-23,Varg Veum - Yours Until Death,2008,https://boxd.it/49NNU9,2,Yes,,2023-04-22
2023-04-23,Varg Veum - Fallen Angels,2008,https://boxd.it/49NKql,2.5,Yes,,2023-04-23
2023-04-24,Varg Veum - Woman in the Fridge,2008,https://boxd.it/49V8ip,3,Yes,,2023-04-23
2023-04-24,Varg Veum - Buried Dogs,2008,https://boxd.it/49V9sv,2.5,Yes,,2023-04-23
2023-04-24,Varg Veum - The Writing on the Wall,2010,https://boxd.it/49VaI5,1.5,Yes,,2023-04-23
2023-04-25,Full Metal Jacket,1987,https://boxd.it/4acQIv,5,,,2023-04-24
2023-04-27,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/4aHWgf,3,Yes,,2023-04-25
2023-05-05,2001: A Space Odyssey,1968,https://boxd.it/4cUQTf,5,Yes,"cinemateketoslo, 70mm",2023-05-04
2023-05-11,The Lobster,2015,https://boxd.it/4etpEL,5,,,2023-05-10
2023-05-19,The Super Mario Bros. Movie,2023,https://boxd.it/4gkm5D,3.5,,,2023-05-18
2023-05-24,Mulholland Drive,2001,https://boxd.it/4hCZQj,,,"cinemateketoslo, 35mm",2023-05-23
2023-05-25,Troll Hunter,2010,https://boxd.it/4hRXVr,4,,,2023-05-24
2023-05-29,Arrival,2016,https://boxd.it/4iPlXp,3.5,,,2023-05-28
2023-05-29,Eames: The Architect and the Painter,2011,https://boxd.it/4j0EOt,,,,2023-05-29
2023-05-30,Naked,1993,https://boxd.it/4j5JHx,5,,,2023-05-29
2023-06-04,Princess Mononoke,1997,https://boxd.it/4kmjYb,4.5,Yes,,2023-06-03
2023-06-14,The Red Turtle,2016,https://boxd.it/4ngp6z,4,,ellinor,2023-06-13
2023-06-20,Black Mirror: Beyond the Sea,2023,https://boxd.it/4oZGCh,2.5,,,2023-06-19
2023-06-24,Léon: The Professional,1994,https://boxd.it/4q3HlN,3,,ellinor,2023-06-23
2023-06-27,Black Mirror: Joan Is Awful,2023,https://boxd.it/4qYNdf,,,,2023-06-26
2023-07-03,Asteroid City,2023,https://boxd.it/4sxu01,4,,"vegaoslo, ellinor",2023-07-02
