Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-03-06,Casino Royale,2006,https://boxd.it/5Z6lD5,4,Yes,"I 2020 holdt vi bond-maraton i kollektivet og i den anledningen mekka jeg et excel-ark for å bedømme alle kriker og kroker av disse filmene. Dønn seriøst opplegg. 

Bond sjøl: 7, skurken: 9, Bond-piken: 7, sang og hovedtittel: 10, pre-title sekvensen: 10, biljakten: 3, bilen: 8, gadgets: 2, plottet: 7, actionsekvensene: 9 og 007-swaggen: 6. 

= 7,09 blir 3.55 stjerne. Runder den opp til 4 jeg. ",bluray,2024-03-05
2024-03-23,The Lobster,2015,https://boxd.it/66QsyB,5,Yes,Når han sparker hun lille jenta er veldig gøy. Og mange andre grunner til at det er favoritten. Detta er film 🤌🏼,,2024-03-22
2024-04-08,Ripley,2024,https://boxd.it/6ershn,,,Italia er for vakkert til å være i farger i en så dyster fortelling. Pluss et par andre greier mot slutten 💡 Mer sort-hvitt og mer Italia. En skikkelig god en det her.,,2024-04-07
2024-04-19,The Talented Mr. Ripley,1999,https://boxd.it/6iKdNd,4.5,,Stor fan av saksofon og subtile superman metaforer. Moro se to ulike filmatiseringer av samme bok sånn på rappen. Mye tydelige motiv og oppbygning til hva som driver fyren. Fløy rett over hue på meg i serien. Ung Matt var også en bra påminnelse om å se Good Will igjen i år.,,2024-04-18
2024-04-26,Purple Noon,1960,https://boxd.it/6lteGP,4,,Ble hvisket i øret om nok en ripley. I nrk spellern skal vite. Hvis jeg noen gang havner ordentlig utpå skal jeg crossklippe det beste fra disse filmene sammen og leie Vega for en kveld.,,2024-04-20
2024-05-27,The Beast,1975,https://boxd.it/6yiv9j,3,,Det er rare greier. Det er veldig rare greier.,,2024-05-26
2024-08-05,Le Samouraï,1967,https://boxd.it/71XIsr,4.5,,The killer men god.,,2024-08-04
2024-08-17,Furiosa: A Mad Max Saga,2024,https://boxd.it/775rhx,2.5,,"Klippekunst er en undervurdert disiplin; det er ingen skam i å la kameraet stå stille fremfor å sveve uhemmet rundt. Spesialeffektene treffer ikke helt blink, og Hemsworths nesetriks går ikke ubemerket forbi. Men Anya Taylor-Joy leverer en solid prestasjon. Hun er kul.",,2024-08-16
2024-09-13,Alien: Romulus,2024,https://boxd.it/7jLiRt,2,,"Design, rekvisitter og miniatyrer setter en solid visuell ramme for filmen, men blir veldig videospillete i form og rytme. Dialogen er kun karakterenes umiddelbare handlinger og intensjoner. Slik alt blir poengtert to ganger. Tematisk sett tilfører den lite. Alien handler om frykt, kontroll og nihilisme, men her føles det uforløst. En cut med mindre dialog og mer atmosfære kunne vært en bænger det. 
<i>
Jeg ville også byttet ut de fleste karakterene (beholdt Rain og Andy), gjort romskipet mindre, basen mer avsides, justert tempoet – og nå innser jeg at dette i bunn og grunn blir til Alien 1. Så ja, jeg anbefaler heller å bare se den. </i>",klingenbergoslo,2024-09-12
2024-12-16,The Lord of the Rings: The Return of the King,2003,https://boxd.it/83Vd1V,4.5,Yes,Har tenkt mye på Skully og hvordan han har sittet oppe sene kvelder lappa sammen den hjelmen. Og første gang han tok den på og skulle ut til gutta som om alt var helt normalt. Ingen big deal bare Skully her med et hode oppå hjelmen sånn. Helt ute av balanse bortover mot Gondor.,"ellinor, extended edition",2024-12-15
2024-12-18,Star Wars,1977,https://boxd.it/85jGoL,3,Yes,Trekker 2 stjerner for at 2004 versjonen eksisterer og at er den disney velger ha i spillern sin,ellinor,2024-12-17
2025-01-12,Perfect Days,2023,https://boxd.it/8qVCWp,4.5,Yes,Nb. Feil aspekt ratio om leier denne på apple tv. Så det var litt balle men noen ganger kult.,ellinor,2025-01-11
